feature_id,distance,odometer,joint_number,relative_position,angle,feature_type,depth_percent,length,width,wall_thickness,weld_type,elevation,j_len
C-70,125.12,125.12,70.0,21.69,272.0,Cluster,0.16,3.55,2.64,0.344,,,25.02
C-70,127.58,127.58,70.0,24.15,175.0,Cluster,0.18,2.0,3.44,0.344,,,25.02
C-250,605.58,605.58,250.0,39.17,294.0,Cluster,0.1,0.86,2.41,0.344,,,40.04
C-260,636.8,636.8,260.0,30.35,139.0,Cluster,0.15,1.85,8.94,0.344,,,31.32
C-290,668.73,668.73,290.0,13.32,47.0,Cluster,0.21,4.67,10.14,0.344,,,15.08
ML-290,668.81,668.81,290.0,13.41,289.0,metal loss,0.4,1.02,0.94,0.344,,,15.08
ML-310,679.22,679.22,310.0,0.86,248.0,metal loss,0.25,2.36,1.3,0.344,,,8.75
ML-310,679.28,679.28,310.0,0.92,265.0,metal loss,0.15,1.61,5.95,0.344,,,8.75
C-420,957.34,957.34,420.0,1.56,128.5,Cluster,0.28,3.46,3.33,0.344,,,29.6
ML-420,957.56,957.56,420.0,1.77,112.0,metal loss,0.17,1.14,1.14,0.344,,,29.6
ML-450,1071.67,1071.67,450.0,32.37,369.5,metal loss-manufacturing anomaly,0.18,0.67,0.83,0.344,,,39.96
C-480,1198.08,1198.08,480.0,38.85,125.0,Cluster,0.13,4.9,1.11,0.344,,,40.04
C-490,1204.54,1204.54,490.0,5.26,118.0,Cluster,0.13,8.21,5.13,0.344,,,39.97
C-490,1226.73,1226.73,490.0,27.45,235.5,Cluster,0.1,2.05,0.73,0.344,,,39.97
C-490,1231.34,1231.34,490.0,32.07,112.0,Cluster,0.1,4.49,4.88,0.344,,,39.97
C-490,1238.12,1238.12,490.0,38.85,235.5,Cluster,0.1,0.97,1.78,0.344,,,39.97
C-500,1239.41,1239.41,500.0,0.16,112.5,Cluster,0.11,0.94,3.88,0.344,,,39.98
C-500,1242.62,1242.62,500.0,3.37,105.5,Cluster,0.11,8.17,5.95,0.344,,,39.98
C-500,1252.92,1252.92,500.0,13.67,230.5,Cluster,0.1,5.48,5.26,0.344,,,39.98
C-500,1256.78,1256.78,500.0,17.53,107.5,Cluster,0.1,1.02,2.2,0.344,,,39.98
C-500,1262.7,1262.7,500.0,23.45,232.5,Cluster,0.11,25.08,6.14,0.344,,,39.98
ML-500,1264.27,1264.27,500.0,25.02,98.5,metal loss,0.1,0.47,0.59,0.344,,,39.98
C-500,1265.9,1265.9,500.0,26.64,100.0,Cluster,0.11,7.7,3.98,0.344,,,39.98
C-500,1275.79,1275.79,500.0,36.54,248.0,Cluster,0.1,5.03,3.86,0.344,,,39.98
C-500,1276.9,1276.9,500.0,37.65,239.5,Cluster,0.11,9.19,5.01,0.344,,,39.98
C-500,1278.81,1278.81,500.0,39.55,233.0,Cluster,0.1,5.35,9.59,0.344,,,39.98
C-510,1284.35,1284.35,510.0,5.12,79.0,Cluster,0.11,2.45,7.96,0.344,,,40.03
C-510,1296.52,1296.52,510.0,17.29,260.5,Cluster,0.1,1.68,5.01,0.344,,,40.03
C-510,1296.97,1296.97,510.0,17.74,82.5,Cluster,0.1,2.5,3.56,0.344,,,40.03
C-510,1299.79,1299.79,510.0,20.56,256.5,Cluster,0.1,5.15,4.65,0.344,,,40.03
ML-510,1302.67,1302.67,510.0,23.44,58.5,metal loss,0.12,0.55,0.55,0.344,,,40.03
C-520,1322.91,1322.91,520.0,3.65,286.5,Cluster,0.1,1.82,2.26,0.344,,,40.02
C-520,1330.47,1330.47,520.0,11.21,260.0,Cluster,0.1,9.49,7.52,0.344,,,40.02
C-520,1341.04,1341.04,520.0,21.77,384.5,Cluster,0.1,27.71,19.52,0.344,,,40.02
ML-520,1342.19,1342.19,520.0,22.93,372.0,metal loss,0.1,0.59,0.71,0.344,,,40.02
ML-520,1348.67,1348.67,520.0,29.41,373.0,metal loss,0.1,0.55,0.71,0.344,,,40.02
C-520,1349.99,1349.99,520.0,30.73,50.0,Cluster,0.11,1.61,3.9,0.344,,,40.02
C-520,1359.24,1359.24,520.0,39.98,264.0,Cluster,0.13,7.85,12.23,0.344,,,40.02
C-530,1363.47,1363.47,530.0,4.19,389.5,Cluster,0.1,3.68,17.3,0.344,,,40.0
C-530,1366.12,1366.12,530.0,6.84,52.5,Cluster,0.12,13.34,14.31,0.344,,,40.0
C-530,1366.68,1366.68,530.0,7.39,282.5,Cluster,0.12,2.83,3.31,0.344,,,40.0
C-530,1367.08,1367.08,530.0,7.79,247.5,Cluster,0.11,44.24,12.19,0.344,,,40.0
C-530,1368.18,1368.18,530.0,8.89,65.0,Cluster,0.11,26.45,12.59,0.344,,,40.0
C-530,1371.07,1371.07,530.0,11.78,244.5,Cluster,0.1,14.12,13.51,0.344,,,40.0
C-530,1371.53,1371.53,530.0,12.24,62.5,Cluster,0.13,12.13,11.86,0.344,,,40.0
C-530,1372.43,1372.43,530.0,13.15,69.0,Cluster,0.1,15.32,11.54,0.344,,,40.0
C-530,1374.44,1374.44,530.0,15.15,248.0,Cluster,0.1,7.01,11.81,0.344,,,40.0
C-530,1376.07,1376.07,530.0,16.78,293.0,Cluster,0.11,1.7,1.82,0.344,,,40.0
C-530,1379.91,1379.91,530.0,20.62,253.5,Cluster,0.1,6.49,11.08,0.344,,,40.0
C-530,1380.08,1380.08,530.0,20.79,62.0,Cluster,0.11,13.16,12.61,0.344,,,40.0
C-530,1380.97,1380.97,530.0,21.68,251.0,Cluster,0.1,5.74,2.72,0.344,,,40.0
C-530,1381.24,1381.24,530.0,21.96,92.0,Cluster,0.1,2.18,3.77,0.344,,,40.0
C-530,1382.61,1382.61,530.0,23.32,62.0,Cluster,0.11,9.08,11.83,0.344,,,40.0
C-530,1383.64,1383.64,530.0,24.35,250.5,Cluster,0.1,4.88,11.98,0.344,,,40.0
C-530,1389.89,1389.89,530.0,30.6,58.0,Cluster,0.13,9.49,12.15,0.344,,,40.0
C-530,1394.54,1394.54,530.0,35.26,58.0,Cluster,0.1,7.66,14.01,0.344,,,40.0
C-530,1394.71,1394.71,530.0,35.43,254.5,Cluster,0.11,13.49,11.29,0.344,,,40.0
C-530,1395.92,1395.92,530.0,36.63,258.0,Cluster,0.11,4.52,9.59,0.344,,,40.0
C-530,1398.09,1398.09,530.0,38.81,204.0,Cluster,0.11,5.52,20.09,0.344,,,40.0
C-530,1398.71,1398.71,530.0,39.42,251.0,Cluster,0.1,8.11,17.45,0.344,,,40.0
C-530,1398.71,1398.71,530.0,39.43,66.5,Cluster,0.12,6.7,10.33,0.344,,,40.0
C-530,1398.73,1398.73,530.0,39.45,176.5,Cluster,0.13,7.19,5.91,0.344,,,40.0
C-540,1399.35,1399.35,540.0,0.06,56.5,Cluster,0.11,5.58,13.26,0.344,,,39.94
C-540,1399.82,1399.82,540.0,0.53,54.0,Cluster,0.1,12.95,14.68,0.344,,,39.94
C-540,1404.28,1404.28,540.0,4.99,81.5,Cluster,0.1,1.58,6.47,0.344,,,39.94
C-540,1404.92,1404.92,540.0,5.63,255.0,Cluster,0.11,3.47,2.81,0.344,,,39.94
C-540,1404.97,1404.97,540.0,5.68,259.0,Cluster,0.1,6.19,10.12,0.344,,,39.94
